,tconst,tLabel,Location,Scene,geocodedLocation,latitude,longitude
601,tt0046183,Peter Pan,"London, England, UK",,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
621,tt0091738,Peggy Sue Got Married,"Kentucky Street, Petaluma, California, USA",(street scenes),"Kentucky Street, East Petaluma, McNear, Petaluma, Sonoma County, California, 94952, United States of America",38.234596100000005,-122.64162560000001
625,tt0410297,The Lake House,"Riverside, Illinois, USA",,"Riverside, Riverside Township, Cook County, Illinois, United States of America",41.832347399999996,-87.8153195
627,tt0410297,The Lake House,"Oak Park, Illinois, USA",,"Oak Park, Cook County, Illinois, United States of America",41.887814500000005,-87.78876149999999
633,tt1240982,Your Highness,"Alnwick, Northumberland, England, UK",(location),"Alnwick, Northumberland, North East England, England, NE66 1HS, United Kingdom",55.4134875,-1.7073105
637,tt0087078,Conan the Destroyer,"Bavispe, Sonora, Mexico",,"Bavispe, Sonora, México",30.64958635,-109.07011790903057
638,tt0087078,Conan the Destroyer,"Nevado de Toluca, Estado de México, Mexico",,"Nevado de Toluca, Route Up Nevado de Toluca, Estado de México, México",19.10807815,-99.75936729784848
657,tt0083791,The Dark Crystal,"Stage 8, Elstree Studios, Borehamwood, Hertfordshire, England, UK",(Gelfling ruins),"Elstree Studios, Shenley Road, Elstree and Borehamwood, Hertsmere, Hertfordshire, East of England, England, WD6 1JG, United Kingdom",51.65705205,-0.2675206399488197
659,tt0844653,Legend of the Seeker,"Auckland, New Zealand",,"Auckland, 1010, New Zealand",-36.852095,174.76318030000002
665,tt1038988,[Rec],"Barcelona, Catalonia, Spain",,"Barcelona, Barcelonès, Catalunya, 08001, España",41.3828939,2.1774322
676,tt2788732,Peter en de Draak,"Upper Hutt, Wellington, New Zealand",,"Upper Hutt, Upper Hutt City, Wellington, 5218, New Zealand",-41.1240674,175.06995890000002
680,tt1078912,Night at the Museum: Battle of the Smithsonian,"Montréal, Québec, Canada",,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada",45.4972159,-73.61036419999999
683,tt1078912,Night at the Museum: Battle of the Smithsonian,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
694,tt0103442,Highlander,"Vancouver, British Columbia, Canada",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.11395290000002
714,tt2288064,Witches of East End,"Wilmington, North Carolina, USA",,"Wilmington, New Hanover County, North Carolina, United States of America",34.2257282,-77.9447107
729,tt0859163,The Mummy: Tomb of the Dragon Emperor,"Waddesdon Manor, Buckinghamshire, England",,"Waddesdon Manor, North Avenue, Waddesdon, Buckinghamshire, South East, England, HP18 0JH, United Kingdom",51.84250175,-0.9373236865937952
746,tt0096794,Always,"Sprague, Washington, USA",(walking through wheat field),"Sprague, Lincoln County, Washington, United States of America",47.3001584,-117.9755065
747,tt0096794,Always,"Idaho, USA",(Boise National Forest),"Idaho, United States of America",43.644764200000004,-114.0154071
752,tt0239395,Cats & Dogs,"George Massey Tunnel, Delta, British Columbia, Canada",,"Vancouver – Blaine Highway, Ironwood, Shellmont, Delta, Metro Vancouver Regional District, British Columbia, V4K 1S8, Canada",49.118804700000005,-123.07196029999999
755,tt0111999,Hercules: The Legendary Journeys,New Zealand,,New Zealand / Aotearoa,-41.5000831,172.83440769999999
757,tt0338348,The Polar Express,Arctic Ocean,,Arctic Ocean,83.0,-170.0
761,tt1646987,Wrath of the Titans,"La Gomera, Canary Islands, Spain",,"La Gomera, Hermigua, Santa Cruz de Tenerife, Canarias, España",28.119242,-17.225640691220967
773,tt0452694,The Time Traveler's Wife,"Newberry Library - 60 W. Walton Street, Near North Side, Chicago, Illinois, USA",,"The Newberry Library, 60, West Walton Street, Near North Side, Chicago, Cook County, Illinois, 60610, United States of America",41.9001632,-87.63030450322576
774,tt0452694,The Time Traveler's Wife,"University of Toronto, Toronto, Ontario, Canada",,"University of Toronto, King's College Circle, University—Rosedale, Old Toronto, Toronto, Peel, Golden Horseshoe, Ontario, M5S 1A1, Canada",43.663462,-79.39775965337452
775,tt0452694,The Time Traveler's Wife,"Toronto, Ontario, Canada",,"Toronto, Peel, Golden Horseshoe, Ontario, Canada",43.6534817,-79.38393470000001
778,tt0099700,Gremlins 2: The New Batch,"101 Park Avenue, Manhattan, New York City, New York, USA",(Clamp Tower),"101 Park Avenue, 101, Park Avenue, Murray Hill, Manhattan Community Board 5, Manhattan, New York County, New York, 10016, United States of America",40.7508354,-73.97760948434279
788,tt0253556,Reign of Fire,"Dublin, County Dublin, Ireland",(London Set),"Dublin, County Dublin, Leinster, Ireland",53.3497645,-6.2602732
790,tt0253556,Reign of Fire,"Black Castle, Wicklow, Ireland",,"Black Castle, Castle Field, Corporation Lands, Wicklow Urban, The Municipal District of Wicklow, County Wicklow, Leinster, A67 W316, Ireland",52.981095200000006,-6.0307553
791,tt0253556,Reign of Fire,Ireland,,Éire / Ireland,52.865196,-7.9794599
793,tt0042332,Cinderella,"Château de Chambord, Chambord, Loir-et-Cher, France",(prince's castle),"Château de Chambord, Avenue du Roi, Chambord, Blois, Loir-et-Cher, Centre-Val de Loire, France métropolitaine, 41250, France",47.6160773,1.5170215611881437
795,tt0090142,Teen Wolf,"1727 Bushnell Avenue, South Pasadena, California, USA",(Scott's house),"1727, Bushnell Avenue, South Pasadena, Los Angeles County, California, 91030, United States of America",34.105706,-118.14152424760314
807,tt1008108,Ashes to Ashes,"London, England, UK",,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
808,tt2510894,Hotel Transylvania 2,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
811,tt3489184,Constantine,"Atlanta Georgia, USA",(studio) (East Point Studios Ltd.),"Atlanta, Georgia, United States of America",33.749098700000005,-84.39018490000001
812,tt3489184,Constantine,"Atlanta, Georgia, USA",,"Atlanta, Georgia, United States of America",33.749098700000005,-84.39018490000001
813,tt3280262,Cult of Chucky,"Winnipeg, Manitoba, Canada",(Shot entirely),"Winnipeg, Winnipeg (city), Manitoba, Canada",49.8955367,-97.1384584
817,tt2403776,Shadow and Bone,"Budapest, Hungary",,"Budapest, Közép-Magyarország, 1011, Magyarország",47.4983815,19.0404707
818,tt1946502,UglyDolls,"Dallas, Texas, USA",(Reel FX Dallas),"Dallas, Dallas County, Texas, United States of America",32.7762719,-96.7968559
819,tt1946502,UglyDolls,"Chengdu, China",(animation: Original Force),"成都市, 四川省, China 中国",30.662420500000003,104.0633219
833,tt1596365,The Woman in Black,"Osea Island, Essex, England, UK",,"Osea Island, Maldon, Essex, East of England, England, CM9 8UH, United Kingdom",51.72280290000001,0.7696823361791836
834,tt1596365,The Woman in Black,"Bluebell Railway, East Sussex, England, UK",(train station),"Bluebell Railway, Lewes Road, Newick, Lewes, East Sussex, South East, England, TN22 3QB, United Kingdom",50.995301299999994,-0.0007082999999999999
837,tt1596365,The Woman in Black,"Manor House, Frogmore Lane, Long Crendon, Buckinghamshire, UK",,"Frogmore Lane, Long Crendon, Buckinghamshire, South East, England, HP18 9DZ, United Kingdom",51.7708836,-1.0003535
839,tt0077869,In de Ban van de Ring,"Belmonte, Cuenca, Castilla-La Mancha, Spain",,"Belmonte, Cuenca, Castilla-La Mancha, 16640, España",39.5592831,-2.7038117
841,tt5501104,Gräns,"Kapellskär, Norrtälje, Sweden",(ship terminal),"Kapellskär, Räfsnäs, Norrtälje kommun, Stockholms län, Svealand, 76015, Sverige",59.7203711,19.060775800000002
846,tt0132347,Mystery Men,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
848,tt0396752,Nanny McPhee,"Dorset, England, UK",,"Dorset, Cheselbourne, Dorset, South West England, England, United Kingdom",50.79683685,-2.34473226124306
849,tt0396752,Nanny McPhee,"London, England, UK",,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
860,tt0433362,Daybreakers,Australia,,Australia,-24.7761086,134.755
862,tt0433362,Daybreakers,"Riparian Plaza, Eagle Street, Brisbane, Queensland, Australia",,"Riparian Plaza, 71, Eagle Street, Brisbane City, Queensland, 4000, Australia",-27.46823365,153.03040944278962
888,tt0081777,Xanadu,"Santa Monica, California, USA",,"Santa Monica, Los Angeles County, California, United States of America",34.0250724,-118.4965129
890,tt1531901,Byzantium,"Dublin, County Dublin, Ireland",,"Dublin, County Dublin, Leinster, Ireland",53.3497645,-6.2602732
904,tt0146984,The Legend of Bagger Vance,"Jekyll Island, Georgia, USA",,"Jekyll Island, Glynn County, Georgia, 31527, United States of America",31.0655982,-81.41431464659931
912,tt1318517,The Man Who Killed Don Quixote,"Ojos-Albos, Ávila, Castilla y León, Spain",(wind turbines),"Ojos-Albos, Ávila, Castilla y León, España",40.7062924,-4.5166059
921,tt1109624,Paddington,"Chalcot Crescent, Primrose Hill, London, England, UK",(the Brown family's house at 32 Windsor Gardens),"Chalcot Crescent, Chalk Farm, London Borough of Camden, London, Greater London, England, NW1 8YG, United Kingdom",51.5406453,-0.1562164
924,tt0790736,R.I.P.D.,"Raynham, Massachusetts, USA",,"Raynham, Bristol County, Massachusetts, 02767, United States of America",41.9487118,-71.07310079999999
925,tt0790736,R.I.P.D.,"Providence, Rhode Island, USA",,"Providence, Providence County, Rhode Island, United States of America",41.8239891,-71.4128343
930,tt0250223,Astérix & Obélix: Mission Cléopâtre,Morocco,,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب,31.1728205,-7.3362482
935,tt1837709,Winter's Tale,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
946,tt8233874,Extra Ordinary,"Tullamore, Offaly, Leinster, Ireland",(location),"Tullamore, County Offaly, Leinster, Ireland",53.2743191,-7.4928384
958,tt0120148,Sliding Doors,"Blue Anchor Pub, Hammersmith, London, England, UK",(Pub where they celebrate after the boat race),"Blue Anchor, Lower Mall, Brook Green, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 9DJ, United Kingdom",51.48957835,-0.2308396726385101
959,tt0120148,Sliding Doors,"Chelsea & Westminster Hospital, Fulham Road, Chelsea, London, England, UK",,"Chelsea & Westminster Hospital, Fulham Road, The Boltons, Brompton, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW10 9NB, United Kingdom",51.4853599,-0.1817895
960,tt0120148,Sliding Doors,"Dorney Court, Dorney, Buckinghamshire, England, UK",,"Dorney Court, Court Lane, Dorney, Buckinghamshire, South East, England, SL4 6QR, United Kingdom",51.502621600000005,-0.6683080784164475
967,tt0120148,Sliding Doors,"29 Primrose Gardens, Belsize Park, London, England, UK",(Anna's flat),"Primrose Gardens, Maitland Park, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 4UJ, United Kingdom",51.5467925,-0.16295510000000002
968,tt8741648,The Letter for the King,New Zealand,,New Zealand / Aotearoa,-41.5000831,172.83440769999999
969,tt2365946,Bitten,"Cambridge, Ontario, Canada",,"Cambridge, Region of Waterloo, Southwestern Ontario, Ontario, N1R 1T7, Canada",43.3600536,-80.3123023
974,tt1753383,A Dog's Purpose,"Winnipeg, Manitoba, Canada",,"Winnipeg, Winnipeg (city), Manitoba, Canada",49.8955367,-97.1384584
979,tt0386117,Max en de maximonsters,"Melbourne, Victoria, Australia",,"Melbourne, City of Melbourne, Victoria, 3000, Australia",-37.814217600000006,144.9631608
981,tt0386117,Max en de maximonsters,"Woodend, Victoria, Australia",,"Woodend, Shire of Macedon Ranges, Victoria, Australia",-37.3536857,144.5341381
995,tt0466909,The Omen,"Matera, Basilicata, Italy",,"Matera, Basilicata, Italia",40.4476419,16.47357384028852
997,tt0965394,Sanctuary,"North Vancouver, British Columbia, Canada",,"North Vancouver, Metro Vancouver Regional District, British Columbia, V7M 1H9, Canada",49.320713299999994,-123.0737831
1010,tt9711106,Dragonheart Vengeance,Romania,,România,45.98521289999999,24.6859225
1012,tt0089457,Ladyhawke,"Catacombe, Rome, Lazio, Italy",,"Basilica di San Sebastiano fuori le mura, Vicolo delle Sette Chiese, Quartiere IX Appio-Latino, Roma, Roma Capitale, Lazio, 00179, Italia",41.85558015,12.515431931646573
1014,tt0089457,Ladyhawke,"Misurina, Auronzo di Cadore, Belluno, Veneto, Italy",,"Misurina, Auronzo di Cadore, Belluno, Veneto, Italia",46.5785263,12.252033
1019,tt0095560,Mac and Me,"Calabasas, California, USA",,"Calabasas, Los Angeles County, California, United States of America",34.144664299999995,-118.6440973
1020,tt0095560,Mac and Me,"26017 Farmfield Road, Calabasas, California, USA",(Cruise House exterior),"26017, Farmfield Road, Calabasas, Los Angeles County, California, 91302, United States of America",34.16530766082866,-118.69484572274315
1027,tt1767354,Odd Thomas,"Albuquerque, New Mexico, USA",,"Albuquerque, Bernalillo County, New Mexico, United States of America",35.0841034,-106.6509851
1061,tt1748179,Red Lights,"Pinewood Toronto Studios, Port Lands, Toronto, Ontario, Canada",,"Pinewood Toronto Studios, Munition Street, Toronto—Danforth, Old Toronto, Toronto, Peel, Golden Horseshoe, Ontario, M4M 3P2, Canada",43.646566299999996,-79.35106457413957
1062,tt0282209,Darkness Falls,"Maine, USA",,"Maine, United States of America",45.709097,-68.8590201
1064,tt0282209,Darkness Falls,"Sun Theatre, Yarraville, Victoria, Australia",,"Sun Theatre, 8, Ballarat Street, Yarraville, City of Maribyrnong, Victoria, 3013, Australia",-37.81598755,144.89065914072623
1066,tt1611224,Abraham Lincoln: Vampire Hunter,"Covington, Louisiana, USA",,"Covington, St. Tammany Parish, Louisiana, United States of America",30.4754702,-90.1009108
1069,tt3416532,A Monster Calls,"Bolton, Greater Manchester, England, UK",,"Bolton, Greater Manchester, North West England, England, BL1 1RU, United Kingdom",53.5782863,-2.4300367
1072,tt3416532,A Monster Calls,"Greater Manchester, England, UK",,"Greater Manchester, North West England, England, United Kingdom",53.50652485,-2.3374401422576687
1074,tt3416532,A Monster Calls,"Delph, Saddleworth, Oldham, Greater Manchester, England, UK",(Heights Chapel),"Delph, Greater Manchester, North West England, England, OL3 5DP, United Kingdom",53.5683549,-2.026164
1075,tt3416532,A Monster Calls,"Castlefield, Manchester, Greater Manchester, England, UK",,"Castlefield, Manchester, Greater Manchester, North West England, England, United Kingdom",53.47582239999999,-2.2557001
1077,tt3416532,A Monster Calls,"Huddersfield, West Yorkshire, England, UK",,"Huddersfield, Kirklees, West Yorkshire, Yorkshire and the Humber, England, HD1 2AA, United Kingdom",53.6466645,-1.7822482
1079,tt3416532,A Monster Calls,"Glossop, Derbyshire, England, UK",,"Glossop, Derbyshire, East Midlands, England, SK13 8AL, United Kingdom",53.4433552,-1.9499172999999999
1080,tt3416532,A Monster Calls,"Preston, Lancashire, England, UK",,"Preston, Lancashire, North West England, England, United Kingdom",53.7593363,-2.6992717
1081,tt0070948,Zardoz,"Brennanstown Riding School, Bray, County Wicklow, Ireland",(The Vortex),"Brennanstown Riding School, Shankill-Bray Bypass, Hollybrook, Kilmacanoge, The Municipal District of Bray, County Wicklow, Leinster, A98 FK10, Ireland",53.1792738,-6.1352472215329
1090,tt0113670,A Little Princess,"Chicago, Illinois, USA",,"Chicago, Cook County, Illinois, United States of America",41.875561600000005,-87.6244212
1102,tt0472160,Penelope,"Blackfriars Bridge, London, UK",(Penelope lowers envelope of photos to Lemon),"Blackfriars Bridge, Blackfriars Road, Bankside, Southwark, London Borough of Southwark, London, Greater London, England, SE1 9UD, United Kingdom",51.5097451,-0.10440562555424326
1132,tt0084503,Pink Floyd: The Wall,"Keighley, Bradford, West Yorkshire, England, UK",,"Keighley, Bradford, West Yorkshire, Yorkshire and the Humber, England, United Kingdom",53.86764515,-1.9387085955617689
1135,tt0219699,The Gift,"Savannah, Georgia, USA",,"Savannah, Chatham County, Georgia, United States of America",32.0809263,-81.09117679999999
1141,tt1075747,Jonah Hex,"French Quarter, New Orleans, Louisiana, USA",,"French Quarter, New Orleans, Orleans Parish, Louisiana, 70116, United States of America",29.959505600000004,-90.0655668
1142,tt1075747,Jonah Hex,"Bayou Gauche, Louisiana, USA",(confederate ship),"Bayou Gauche, St. Charles Parish, Louisiana, United States of America",29.787431599999998,-90.4131376
1149,tt0250593,Mom's Got a Date with a Vampire,"TD Canada Trust, 632 College Street, Toronto, Ontario, Canada",(Suede Shoe),"TD Canada Trust, 632, College Street, University—Rosedale, Old Toronto, Toronto, Peel, Golden Horseshoe, Ontario, M6G 1C2, Canada",43.6550912,-79.4153237
1150,tt0250593,Mom's Got a Date with a Vampire,"1343 Watersedge Road, Mississauga, Ontario, Canada",(Hansen home),"1343, Watersedge Road, Rattray Park Estates, Clarkson, Mississauga, Peel Region, Golden Horseshoe, Ontario, L5J 1B5, Canada",43.51478111256773,-79.60471093402742
1156,tt0952640,Alvin and the Chipmunks,"Mammoth Mountain, California, USA",,"Mammoth Mountain, Mammoth Lakes, Mono County, California, United States of America",37.6307692,-119.03263419999999
1161,tt0425123,Just Like Heaven,"Caffe Trieste - 601 Vallejo St, San Francisco, California, USA",(David and Jack's rendezvous),"Caffe Trieste, 601, Vallejo Street, North Beach, San Francisco, San Francisco City and County, California, 94133, United States of America",37.7986305,-122.40735190000001
1165,tt0425123,Just Like Heaven,"Fresno St, San Francisco, California, USA",(street scenes),"Fresno Street, Telegraph Hill, San Francisco, San Francisco City and County, California, 94113, United States of America",37.7986036,-122.40638909999998
1168,tt4030600,The Bye Bye Man,"Cleveland, Ohio, USA",,"Cleveland, Cuyahoga County, Ohio, United States of America",41.5051613,-81.6934446
1169,tt0093191,Der Himmel über Berlin,"Staatsbibliothek, Tiergarten, Berlin, Germany",,"Staatsbibliothek zu Berlin, 33, Potsdamer Straße, Botschaftsviertel, Tiergarten, Mitte, Berlin, 10785, Deutschland",52.507370200000004,13.370841108625655
1170,tt0093191,Der Himmel über Berlin,"Berlin, Germany",,"Berlin, 10117, Deutschland",52.517036499999996,13.388859900000002
1171,tt0093191,Der Himmel über Berlin,"Potsdamer Platz, Mitte, Berlin, Germany",,"Potsdamer Platz, Tiergarten, Mitte, Berlin, 10785, Deutschland",52.510050799999995,13.375884699999999
1175,tt0093191,Der Himmel über Berlin,"Kreuzberg, Berlin, Germany",(Damiel walks on the street with his armour) (background exterior),"Kreuzberg, Friedrichshain-Kreuzberg, Berlin, Deutschland",52.4976443,13.411914000000001
1176,tt0093191,Der Himmel über Berlin,"Tiergarten, Berlin, Germany",,"Tiergarten, Mitte, Berlin, Deutschland",52.50977760000001,13.357259699999998
1179,tt1672189,Camelot,"Lough Tay, County Wicklow, Ireland",,"Lough Tay, R759, Ballinastoe, Calary, The Municipal District of Wicklow, County Wicklow, Leinster, Ireland",53.10587605,-6.2672966858168415
1182,tt0146675,End of Days,"Arcadia, California, USA",,"Arcadia, Los Angeles County, California, United States of America",34.136207500000005,-118.0401497
1193,tt0448694,Puss in Boots,"Chicago Illinois, USA",,"Chicago, Cook County, Illinois, United States of America",41.875561600000005,-87.6244212
1195,tt0460829,Inland Empire,"Lódz, Lódzkie, Poland",,"Łódź, województwo łódzkie, Polska",51.768732299999996,19.456991100000003
1197,tt0460829,Inland Empire,"California, USA",,"California, United States of America",36.7014631,-118.75599740000001
1198,tt0460829,Inland Empire,"Avalon Hollywood - 1735 Vine Street, Los Angeles, California, USA",,"Avalon Hollywood, 1735, Vine Street, Whitley Heights Historic District, Hollywood, Los Angeles, Los Angeles County, California, 90028, United States of America",34.104648299999994,-118.32719409999999
1199,tt0460829,Inland Empire,"Hollywood Boulevard, Hollywood, Los Angeles, California, USA",,"Hollywood Boulevard, Whitley Heights Historic District, Hollywood, Los Angeles, Los Angeles County, California, 90028, United States of America",34.1015833,-118.3324947
1206,tt0105428,Sleepwalkers,"Van Nuys High School - 6535 Cedros Avenue, Van Nuys, Los Angeles, California, USA",(school scenes),"Van Nuys High School, 6535, Cedros Avenue, Van Nuys, Los Angeles, Los Angeles County, California, 91411, United States of America",34.1891575,-118.45526308656366
1210,tt0107985,Rookie of the Year,"Westmont, Illinois, USA",(little league scene),"Westmont, DuPage County, Illinois, 60559, United States of America",41.795052500000004,-87.9751964
1211,tt0107985,Rookie of the Year,"Chicago, Illinois, USA",,"Chicago, Cook County, Illinois, United States of America",41.875561600000005,-87.6244212
1212,tt0107985,Rookie of the Year,"Illinois, USA",,"Illinois, United States of America",40.079660600000004,-89.4337288
